,MAC,nbAPConnected,coToAdmin,coToAcademic,coToSocial,coToLibrary,coToResidential,only Academic or Admin,is Night,is Weekend
0,0040961e58be,19,1,1,0,1,1,0,0.0,0.0
1,nothing,8,1,1,0,1,0,0,0.0,0.0
2,00601db0635a,2,1,0,0,1,0,0,0.0,0.0
3,00409699dfba,10,1,1,0,1,0,0,0.0,0.0
4,004096daa8fe,6,0,1,0,0,0,1,0.0,0.0
5,00409630cdc9,4,0,1,0,0,0,1,0.0,0.0
6,004096342c16,25,1,1,0,1,1,0,0.0,0.0
7,00409699915b,107,1,1,1,1,1,0,0.0,0.0
8,00409664173d,106,1,1,1,1,1,0,0.0,0.0
9,004096a0b921,155,1,1,1,1,1,0,0.0,0.0
10,003065343950,3,0,1,0,0,0,1,0.0,0.0
11,003065b40dda,2,0,1,0,0,0,1,0.0,0.0
12,003065fc1494,23,1,1,1,1,0,0,0.0,0.0
13,0040968cf0ea,23,1,1,0,1,1,0,0.0,0.0
14,0030650c0321,11,0,1,0,0,0,1,0.0,0.0
15,0040962dc86b,5,0,1,0,0,0,1,0.0,0.0
16,0030655b9345,1,0,0,0,1,0,0,0.0,0.0
17,00409622cb2b,9,0,1,0,0,1,0,0.0,0.0
18,003065e8f0ca,27,1,1,0,1,1,0,0.0,0.0
19,00022db6cc78,3,0,1,0,0,0,1,0.0,0.0
20,004096d06bb2,20,1,1,1,1,1,0,0.0,0.0
21,004096da8a8e,7,0,1,0,1,0,0,0.0,0.0
22,00601d9bf252,8,1,1,0,1,1,0,0.0,0.0
23,00306526784b,78,1,1,1,1,1,0,0.0,0.0
24,003065708c70,10,1,1,0,1,0,0,0.0,0.0
25,004096ff6784,8,0,1,0,1,0,0,5.0,4.0
26,003065d55e08,12,1,1,1,1,1,0,0.0,0.0
27,00409649fe8d,7,1,1,0,0,0,1,0.0,0.0
28,00306506fde2,34,1,1,1,1,1,0,0.0,0.0
29,004096229b1c,4,0,1,0,0,1,0,2.0,0.0
30,0030655b8297,59,1,1,1,1,1,0,0.0,0.0
31,0040964fb1f3,21,1,1,0,1,1,0,0.0,0.0
32,0030651794b6,66,1,1,1,1,1,0,0.0,0.0
33,004096828008,45,1,1,0,1,1,0,0.0,0.0
34,0040963582b8,77,1,1,1,1,1,0,0.0,1.0
35,003065f88ab1,5,0,1,0,1,0,0,0.0,0.0
36,00409616fc02,11,0,1,0,1,0,0,0.0,0.0
37,003065901355,31,0,1,0,1,1,0,0.0,0.0
38,003065e2d2b5,81,1,1,1,1,1,0,0.0,0.0
39,0030659f0025,3,0,0,0,1,0,0,0.0,0.0
40,00601df57e26,6,1,1,0,0,1,0,0.0,0.0
41,003065c010fb,1,0,1,0,0,0,1,0.0,0.0
42,004096f20d21,5,0,1,0,0,0,1,0.0,0.0
43,003065475356,2,1,0,0,1,0,0,0.0,0.0
44,003065e79136,14,1,1,0,1,1,0,0.0,0.0
45,00601d9a221b,1,0,0,0,1,0,0,1.0,0.0
46,00306582237e,20,1,1,1,1,1,0,0.0,0.0
47,00306572a9d8,54,1,1,1,1,1,0,0.0,0.0
